chromosome	start	end	gene	log2	depth	spread
chr1	1787287	1787377	GNB1	0.156017	6377.71	0.0427015
chr1	1787377	1787467	GNB1	-0.663319	3634.52	0.0543804
chr1	1787467	1787558	GNB1	-2.50287	1009.81	0.114892
chr1	1789027	1789118	GNB1	-0.0988947	5306.32	0.0545647
chr1	1789118	1789209	GNB1	0.49707	8045.66	0.0381494
chr1	1789209	1789300	GNB1	0.419995	7646.01	0.0389849
chr1	1789300	1789392	GNB1	-2.43084	1066.58	0.089504
chr1	1790296	1790407	GNB1	-0.236312	4875.19	0.0426721
chr1	1790407	1790519	GNB1	0.245607	6809.76	0.0344953
chr1	1790519	1790631	GNB1	-0.0310212	5605.2	0.0385184
chr1	1793078	1793174	GNB1	-2.54122	971.08	0.118232
chr1	1793174	1793270	GNB1	-0.690993	3546.18	0.0566221
chr1	1793270	1793366	GNB1	-0.00373762	5692.96	0.0532452
chr1	1804396	1804498	GNB1	-0.198975	4964.22	0.0261983
chr1	1804498	1804600	GNB1	-0.63099	3690.7	0.0419851
chr1	1804600	1804702	GNB1	-2.44353	1046.52	0.0975953
chr1	1806340	1806450	GNB1	-2.13908	1304.15	0.0860292
chr1	1806450	1806560	GNB1	-0.314353	4587.72	0.0478221
chr1	1815673	1815765	GNB1	-0.353277	4486.22	0.0407155
chr1	1815765	1815857	GNB1	0.551591	8411.73	0.0423953
chr1	1815857	1815950	GNB1	-0.439963	4202.85	0.0418755
chr1	1817684	1817791	GNB1	-2.21892	1234.09	0.0928988
chr1	1817791	1817899	GNB1	-0.376405	4416.84	0.0500758
chr1	1825267	1825374	GNB1	-1.92199	1508.82	0.0999388
chr1	1825374	1825481	GNB1	-0.176189	5070.62	0.0603703
chr1	36466069	36466168	CSF3R	-0.024015	5590.96	0.059836
chr1	36466168	36466267	CSF3R	0.0531833	5960.14	0.0512562
chr1	36466267	36466366	CSF3R	-0.503098	4027.89	0.0728287
chr1	36466366	36466465	CSF3R	-0.280803	4704.37	0.0773821
chr1	36466465	36466564	CSF3R	-0.146288	5144.13	0.0478752
chr1	36466564	36466663	CSF3R	0.343367	7251.82	0.0331516
chr1	36466663	36466762	CSF3R	-0.380685	4393.68	0.0411724
chr1	36466762	36466861	CSF3R	-0.159238	5113.63	0.0461096
chr1	36466861	36466961	CSF3R	0.0543426	5912	0.0502239
chr1	36467118	36467238	CSF3R	0.0400555	5893.09	0.0452928
chr1	36467238	36467359	CSF3R	0.0221839	5820.28	0.0339495
chr1	36467452	36467568	CSF3R	-0.158601	5123.03	0.0442323
chr1	36467568	36467685	CSF3R	-0.217458	4912.82	0.0412281
chr1	36467742	36467838	CSF3R	-0.277756	4730.44	0.0453506
chr1	36467838	36467935	CSF3R	-0.140826	5180.31	0.063907
chr1	36467935	36468032	CSF3R	0.171007	6437.56	0.0827395
chr1	36468032	36468129	CSF3R	0.90065	10664.3	0.0645321
chr1	36468129	36468226	CSF3R	0.60245	8673.95	0.0540637
chr1	36468226	36468323	CSF3R	-1.018	2803.98	0.108958
chr1	36468323	36468420	CSF3R	-2.68289	887.582	0.0995942
chr1	43337725	43337838	MPL	-2.20863	1241.98	0.0826613
chr1	43337838	43337951	MPL	-0.407915	4332.24	0.0541831
chr1	43338058	43338164	MPL	-0.110614	5285.34	0.0622005
chr1	43338164	43338270	MPL	-0.635793	3690.59	0.0599482
chr1	43338270	43338376	MPL	-2.31638	1142.46	0.127736
chr1	43338447	43338552	MPL	-0.211853	4928.99	0.0331675
chr1	43338552	43338657	MPL	0.279745	6944.72	0.031541
chr1	43338657	43338762	MPL	-0.0864435	5372.98	0.0378344
chr1	43338762	43338867	MPL	-2.57935	975.653	0.0696945
chr1	43339143	43339233	MPL	-2.53219	983.531	0.113248
